M,N,K,tileM,tileN,BatchCount,TimeGPU(ms),PerformanceGPU(GFLOP/s)
8000,8000,8000,32,32,62500,103.914,9854.31
8000,8000,8000,32,32,62500,103.831,9862.18
8000,8000,8000,32,32,62500,103.858,9859.66
8000,8000,8000,32,64,31250,99.7083,10270
8000,8000,8000,32,64,31250,99.7022,10270.6
8000,8000,8000,32,64,31250,99.7048,10270.3
