Iteration,Matrix Size (M),Matrix Size (N),Matrix Size (K),Version,Execution Time (ms),Performance (GFLOP/s)
1,9000,9000,9000,CPU,32069.9,45.4632
1,9000,9000,9000,GPU,0.0033952,4.2943e+08
